Part           	Vertex         	Longitude (dd) 	Latitude (dd)  	Z (Meters)     
1              	366            	172.5561382°E  	43.6819440°S   	0              
1              	367            	172.5550227°E  	43.6812620°S   	0              
1              	368            	172.5552235°E  	43.6793654°S   	0              
1              	369            	172.5539355°E  	43.6767854°S   	0              
1              	370            	172.5550698°E  	43.6748924°S   	0              
1              	371            	172.5565785°E  	43.6728654°S   	0              
1              	372            	172.5591954°E  	43.6724690°S   	0              
1              	373            	172.5625601°E  	43.6719398°S   	0              
1              	374            	172.5635064°E  	43.6701816°S   	0              
1              	375            	172.5640803°E  	43.6682864°S   	0              
1              	376            	172.5659589°E  	43.6666672°S   	0              
1              	377            	172.5659707°E  	43.6650409°S   	0              
1              	378            	172.5648623°E  	43.6634104°S   	0              
1              	379            	172.5665502°E  	43.6623326°S   	0              
1              	380            	172.5701000°E  	43.6619394°S   	0              
1              	381            	172.5732773°E  	43.6614092°S   	0              
1              	382            	172.5762670°E  	43.6610138°S   	0              
1              	383            	172.5781413°E  	43.6599365°S   	0              
1              	384            	172.5788994°E  	43.6583130°S   	0              
1              	385            	172.5796564°E  	43.6568250°S   	0              
1              	386            	172.5804153°E  	43.6550659°S   	0              
1              	387            	172.5822753°E  	43.6560214°S   	0              
1              	388            	172.5861691°E  	43.6598303°S   	0              
1              	389            	172.5884156°E  	43.6588897°S   	0              
1              	390            	172.5882419°E  	43.6569917°S   	0              
1              	391            	172.5860094°E  	43.6558995°S   	0              
1              	392            	172.5841541°E  	43.6542664°S   	0              
1              	393            	172.5838070°E  	43.6504704°S   	0              
1              	394            	172.5815635°E  	43.6510043°S   	0              
1              	395            	172.5770727°E  	43.6526141°S   	0              
1              	396            	172.5739006°E  	43.6524668°S   	0              
1              	397            	172.5686900°E  	43.6502788°S   	0              
1              	398            	172.5666448°E  	43.6491869°S   	0              
1              	399            	172.5668441°E  	43.6474258°S   	0              
1              	400            	172.5677986°E  	43.6444478°S   	0              
1              	401            	172.5666925°E  	43.6425462°S   	0              
1              	402            	172.5668996°E  	43.6397010°S   	0              
1              	403            	172.5661824°E  	43.6356324°S   	0              
1              	404            	172.5647131°E  	43.6323742°S   	0              
1              	405            	172.5623042°E  	43.6300610°S   	0              
1              	406            	172.5654907°E  	43.6280403°S   	0              
1              	407            	172.5693864°E  	43.6234852°S   	0              
1              	408            	172.5704629°E  	43.6225456°S   	0              
1              	409            	172.5706272°E  	43.6209364°S   	0              
1              	410            	172.5738486°E  	43.6192275°S   	0              
1              	411            	172.5762995°E  	43.6184040°S   	0              
1              	412            	172.5786759°E  	43.6173025°S   	0              
1              	413            	172.5815133°E  	43.6158141°S   	0              
1              	414            	172.5844129°E  	43.6163798°S   	0              
1              	415            	172.5870821°E  	43.6171111°S   	0              
1              	416            	172.5879997°E  	43.6170034°S   	0              
1              	417            	172.5888444°E  	43.6163958°S   	0              
1              	418            	172.5883927°E  	43.6153950°S   	0              
1              	419            	172.5875588°E  	43.6144483°S   	0              
1              	420            	172.5864165°E  	43.6138890°S   	0              
1              	421            	172.5863458°E  	43.6130561°S   	0              
1              	422            	172.5868863°E  	43.6122253°S   	0              
1              	423            	172.5863576°E  	43.6113352°S   	0              
1              	424            	172.5845985°E  	43.6116064°S   	0              
1              	425            	172.5823807°E  	43.6119314°S   	0              
1              	426            	172.5802430°E  	43.6117015°S   	0              
1              	427            	172.5796423°E  	43.6102005°S   	0              
1              	428            	172.5790415°E  	43.6086995°S   	0              
1              	429            	172.5769847°E  	43.6078592°S   	0              
1              	430            	172.5753009°E  	43.6082970°S   	0              
1              	431            	172.5729276°E  	43.6090099°S   	0              
1              	432            	172.5714729°E  	43.6094485°S   	0              
1              	433            	172.5702624°E  	43.6077786°S   	0              
1              	434            	172.5679821°E  	43.6061602°S   	0              
1              	435            	172.5663831°E  	43.6054324°S   	0              
1              	436            	172.5664674°E  	43.6043225°S   	0              
1              	437            	172.5680851°E  	43.6024412°S   	0              
1              	438            	172.5683974°E  	43.6014987°S   	0              
1              	439            	172.5668737°E  	43.6009378°S   	0              
1              	440            	172.5634416°E  	43.6002031°S   	0              
1              	441            	172.5622250°E  	43.5994213°S   	0              
1              	442            	172.5645221°E  	43.5986529°S   	0              
1              	443            	172.5664305°E  	43.5988267°S   	0              
1              	444            	172.5714021°E  	43.5979017°S   	0              
1              	445            	172.5728486°E  	43.5985733°S   	0              
1              	446            	172.5744515°E  	43.5987458°S   	0              
1              	447            	172.5762827°E  	43.5990301°S   	0              
1              	448            	172.5776584°E  	43.5989242°S   	0              
1              	449            	172.5801806°E  	43.5987115°S   	0              
1              	450            	172.5840089°E  	43.5973931°S   	0              
1              	451            	172.5822537°E  	43.5971647°S   	0              
1              	452            	172.5786703°E  	43.5962078°S   	0              
1              	453            	172.5767694°E  	43.5949795°S   	0              
1              	454            	172.5781574°E  	43.5930973°S   	0              
1              	455            	172.5808440°E  	43.5911642°S   	0              
1              	456            	172.5833048°E  	43.5887307°S   	0              
1              	457            	172.5855283°E  	43.5874620°S   	0              
1              	458            	172.5929219°E  	43.5895980°S   	0              
1              	459            	172.5971868°E  	43.5913895°S   	0              
1              	460            	172.5987065°E  	43.5925606°S   	0              
1              	461            	172.6012115°E  	43.5949009°S   	0              
1              	462            	172.6035614°E  	43.5976292°S   	0              
1              	463            	172.6056121°E  	43.5994126°S   	0              
1              	464            	172.6083417°E  	43.6025307°S   	0              
1              	465            	172.6097070°E  	43.6040342°S   	0              
1              	466            	172.6111663°E  	43.6028179°S   	0              
1              	467            	172.6117117°E  	43.6011544°S   	0              
1              	468            	172.6101126°E  	43.6003718°S   	0              
1              	469            	172.6064639°E  	43.5976392°S   	0              
1              	470            	172.6047336°E  	43.5935808°S   	0              
1              	471            	172.6032174°E  	43.5918547°S   	0              
1              	472            	172.6006405°E  	43.5888480°S   	0              
1              	473            	172.5980561°E  	43.5870071°S   	0              
1              	474            	172.5955631°E  	43.5829459°S   	0              
1              	475            	172.5951201°E  	43.5806683°S   	0              
1              	476            	172.5970403°E  	43.5790097°S   	0              
1              	477            	172.5990311°E  	43.5781840°S   	0              
1              	478            	172.5993490°E  	43.5762977°S   	0              
1              	479            	172.6014884°E  	43.5760831°S   	0              
1              	480            	172.6064406°E  	43.5777657°S   	0              
